,TreeID,X,Y,Radius,Error,H,h_radius,DBH,BasalA,plot_blk
0,1,10.6733824241562,2.12703256030622,0.266540248414519,0.0011991876716908,12.56,1.3,20.9873791601592,2.40232383820301,CAFKU_0101_20240802_1
3,6,2.4294484335821,1.05552097162312,0.166443626724532,0.0007301750174717,8.742,1.3,13.1057711682896,0.936785791591526,CAFKU_0101_20240802_1
4,8,2.14943576037331,0.950024610651025,0.759980818985523,0.0011505843942007,13.469,1.3,59.8408896869201,19.5304035562598,CAFKU_0101_20240802_1
5,9,1.96238168888646,8.7810917950156,0.267219385265523,0.0012174466926814,18.144,1.3,21.0408543958073,2.41458153791014,CAFKU_0101_20240802_1
6,12,1.43323392425347,0.234222632046651,0.208154128731271,0.000542794833612,13.79,1.3,16.3900560963003,1.46512950243265,CAFKU_0101_20240802_1
7,15,1.52052954196508,-4.83345461294829,0.0451541776792836,0.0005787405975749,9.489,1.3,3.55543995046679,0.0689448497784607,CAFKU_0101_20240802_1
8,16,0.938394109705322,-0.817795047882731,0.164195033512465,0.0014451823248391,17.728,1.3,12.9287169387715,0.911645490058407,CAFKU_0101_20240802_1
9,21,-1.29961417132495,-3.43728012470395,0.0716776268142351,0.0006048238009428,17.281,1.3,5.64389633535287,0.173729348114319,CAFKU_0101_20240802_1
10,25,1.12499444792568,-1.13183212275404,0.168454072944316,0.0006260314439226,8.612,1.3,13.2640737036354,0.959553041729189,CAFKU_0101_20240802_1
0,3,3.84291349854707,-2.52082239269764,0.335033267955832,0.0001426246468786,21.171,1.3,26.3805195188422,3.79561209219821,CATNF_6043_20240814_1
1,6,2.37680126351492,0.329797292456664,0.170864773101839,6.46724368773914e-05,14.801,1.3,13.4538922340388,0.987213357400937,CATNF_6043_20240814_1
2,7,1.62522554320677,3.372755346163,0.252920531370959,0.000177193187949,17.744,1.3,19.9149626401493,2.16308768937188,CATNF_6043_20240814_1
3,8,1.25045257107429,-2.59569650370361,0.290197267423266,0.0001206553132754,23.772,1.3,22.8501328369079,2.8476892244033,CATNF_6043_20240814_1
5,13,0.810444345679038,3.72154312025832,0.0799837866744719,0.0004974973537108,16.746,1.3,6.29792336274792,0.216326576177333,CATNF_6043_20240814_1
0,1,8.28494191184861,7.16120117346905,0.281916364711507,0.0003552054099041,27.247,1.3,22.1980945573841,2.6874879623911,CAFKU_0089_20240803_1
3,4,1.80016911945271,-3.7112489721836,0.142603285363654,0.0001621564187635,12.728,1.3,11.2285826895341,0.687646151502459,CAFKU_0089_20240803_1
4,6,-0.656297926030894,-3.624160261073,0.247886357790856,0.0002019012087553,16.158,1.3,19.518571812452,2.07783571709066,CAFKU_0089_20240803_1
6,9,-0.231774729767076,3.56119993190011,0.293965500133748,0.0001514776574464,23.155,1.3,23.1468434805313,2.92212428441402,CAFKU_0089_20240803_1
4,5,10.0448142712449,2.61957869103378,0.0778214778320701,0.0003612128081988,19.821,1.3,6.1276631644972,0.204788187447,CAFKU_0122_20240804_1
5,6,9.00876202584629,5.72844492143945,0.225314468228071,0.0001791495418194,25.951,1.3,17.7412612282783,1.71665931673644,CAFKU_0122_20240804_1
6,7,6.81967401476356,0.354548168539646,0.296247842631965,0.0002051675513454,26.263,1.3,23.3265551288409,2.96767506197147,CAFKU_0122_20240804_1
7,8,4.27366841082878,6.82231099444925,0.312494126831909,0.0003292482399389,22.549,1.3,24.6057875467445,3.30209583445881,CAFKU_0122_20240804_1
8,9,-4.90382754321661,-7.23198104324865,0.32126324917943,0.0006643131855036,21.492,1.3,25.2962682403883,3.4900210732963,CAFKU_0122_20240804_1
10,11,1.80229239594416,-9.87170606923344,0.363230264888331,0.0011545777887503,24.487,1.3,28.6007510573072,4.46138814952338,CAFKU_0122_20240804_1
11,12,-1.38705991063137,6.55894662021697,0.238492886353395,0.0002364750725516,25.206,1.3,18.7789298714663,1.92334332161857,CAFKU_0122_20240804_1
13,15,-4.68090496237402,7.48753676391622,0.0886086257308549,0.0023402636243429,17.393,1.3,6.97704319004751,0.26549598415975,CAFKU_0122_20240804_1
4,6,-3.9377328600706,-3.69319803959508,0.345879458841363,0.000299647483173,28.109,1.3,27.2345485891689,4.04534435341155,CATCU_0044_20241022_1
5,7,-8.49304834293005,-0.421145422679602,0.118609787104688,0.0016448046793931,42.499,1.3,9.33933463662314,0.475715177114636,CATCU_0044_20241022_1
6,8,-1.23716556336733,0.933096506858774,0.049254051714031,6.05261632491704e-05,39.591,1.3,3.8782640319628,0.0820332425914156,CATCU_0044_20241022_1
8,10,3.98980204169209,-8.49405002737013,0.22685112463119,0.000830464754534,28.965,1.3,17.8622575534599,1.74015457571806,CATCU_0044_20241022_1
9,11,-8.32856400232766,-4.59187408325725,0.411151848208127,0.000326678262099,40.804,1.3,32.3740965279079,5.71623991519473,CATCU_0044_20241022_1
10,12,-0.637304177089452,-10.530354249375,0.235932458754855,0.0003669238007816,33.394,1.3,18.5773218023573,1.88226749268984,CATCU_0044_20241022_1
12,15,2.59316865958941,-0.210185273246373,0.0575239298727507,8.67381684732929e-05,5.958,1.3,4.52943423818039,0.111893034221176,CATCU_0044_20241022_1
13,16,-6.5803090412311,-9.04460684173475,0.149998454921959,0.0002695306771487,19.211,1.3,11.810878340555,0.760815804494586,CATCU_0044_20241022_1
14,17,-3.27966335326875,4.72009241098043,0.0514144849203943,0.0003762462848962,38.008,1.3,4.04837654263184,0.0893875292491018,CATCU_0044_20241022_1
15,18,5.58847146837937,8.64843776775894,0.143180960626605,0.0007528218057206,33.254,1.3,11.2740688397389,0.693228642220099,CATCU_0044_20241022_1
