SPCD,COMMON_NAME,SCI_NAME,SPGRPCD.E,SPGRPCD.W,MAJGRP,OCC.NC,OCC.NE,OCC.PNW,OCC.RM,OCC.SO,PFT
813,cherrybark oak,Quercus pagoda,26,47,4,X,X,-,-,X,Deciduous broadleaf
814,Gambel oak,Quercus gambelii,48,48,4,-,-,-,X,X,Deciduous broadleaf
815,Oregon white oak,Quercus garryana,43,46,4,-,-,X,-,-,Deciduous broadleaf
816,scrub oak,Quercus ilicifolia,43,47,4,-,X,-,-,X,Deciduous broadleaf
817,shingle oak,Quercus imbricaria,28,47,4,X,X,-,-,X,Deciduous broadleaf
818,California black oak,Quercus kelloggii,43,46,4,-,-,X,-,-,Deciduous broadleaf
819,turkey oak,Quercus laevis,43,47,4,-,-,-,-,X,Deciduous broadleaf
820,laurel oak,Quercus laurifolia,28,47,4,-,X,-,-,X,Evergreen broadleaf
821,California white oak,Quercus lobata,43,46,4,-,-,X,-,-,Deciduous broadleaf
822,overcup oak,Quercus lyrata,27,47,4,X,X,-,-,X,Deciduous broadleaf
823,bur oak,Quercus macrocarpa,25,47,4,X,X,-,X,X,Deciduous broadleaf
824,blackjack oak,Quercus marilandica,28,47,4,X,X,-,-,X,Deciduous broadleaf
825,swamp chestnut oak,Quercus michauxii,25,47,4,X,X,-,-,X,Deciduous broadleaf
826,chinkapin oak,Quercus muehlenbergii,25,47,4,X,X,X,X,X,Deciduous broadleaf
827,water oak,Quercus nigra,28,47,4,X,X,-,-,X,Deciduous broadleaf
828,Texas red oak,Quercus texana,28,47,4,X,-,-,-,X,Deciduous broadleaf
829,Mexican blue oak,Quercus oblongifolia,48,48,4,-,-,-,X,X,Evergreen broadleaf
830,pin oak,Quercus palustris,28,47,4,X,X,-,-,X,Deciduous broadleaf
831,willow oak,Quercus phellos,28,47,4,X,X,-,-,X,Deciduous broadleaf
832,chestnut oak,Quercus prinus,27,47,4,X,X,-,-,X,Deciduous broadleaf
833,northern red oak,Quercus rubra,26,47,4,X,X,-,-,X,Deciduous broadleaf
834,Shumard oak,Quercus shumardii,26,47,4,X,X,-,-,X,Deciduous broadleaf
835,post oak,Quercus stellata,27,47,4,X,X,-,-,X,Deciduous broadleaf
836,Delta post oak,Quercus similis,27,47,4,-,-,-,-,X,Deciduous broadleaf
837,black oak,Quercus velutina,28,47,4,X,X,-,-,X,Deciduous broadleaf
838,live oak,Quercus virginiana,27,47,4,-,-,-,-,X,Evergreen broadleaf
839,interior live oak,Quercus wislizeni,43,46,4,-,-,X,-,-,Evergreen broadleaf
840,dwarf post oak,Quercus margarettiae,27,47,4,X,-,-,-,X,Deciduous broadleaf
841,dwarf live oak,Quercus minima,27,47,4,-,-,-,-,X,Evergreen broadleaf
842,bluejack oak,Quercus incana,43,47,4,-,-,-,-,X,Deciduous broadleaf
843,silverleaf oak,Quercus hypoleucoides,48,48,4,-,-,-,X,X,Evergreen broadleaf
844,Oglethorpe oak,Quercus oglethorpensis,27,47,4,-,-,-,-,X,Deciduous broadleaf
845,dwarf chinkapin oak,Quercus prinoides,43,47,4,X,X,-,-,X,Deciduous broadleaf
846,gray oak,Quercus grisea,48,48,4,-,-,-,X,X,Shrub
847,netleaf oak,Quercus rugosa,48,48,4,-,-,-,X,X,Shrub
851,Chisos oak,Quercus graciliformis,26,47,4,-,-,-,-,X,Evergreen broadleaf
8511,Graves oak,Quercus gravesii,26,47,4,-,-,-,-,X,Deciduous broadleaf
8512,Mexican white oak,Quercus polymorpha,26,47,4,-,-,-,-,X,Evergreen broadleaf
8513,Buckley oak,Quercus buckleyi,26,47,4,-,-,-,-,X,Deciduous broadleaf
8514,Lacey oak,Quercus laceyi,26,47,4,-,-,-,-,X,Deciduous broadleaf
852,sea torchwood,Amyris elemifera,43,47,3,-,-,-,-,X,Evergreen broadleaf
853,pond-apple,Annona glabra,43,47,3,-,-,-,-,X,Wetland tree
854,gumbo limbo,Bursera simaruba,43,47,3,-,-,-,-,X,Evergreen
855,sheoak spp.,Casuarina spp.,43,47,3,-,-,-,-,X,Evergreen
856,gray sheoak,Casuarina glauca,43,47,3,-,-,-,-,X,Evergreen
857,belah,Casuarina lepidophloia,43,47,3,-,-,-,-,X,Evergreen
858,camphortree,Cinnamomum camphora,43,47,3,-,-,-,-,X,Evergreen
859,Florida fiddlewood,Citharexylum fruticosum,43,47,3,-,-,-,-,X,Evergreen
860,citrus spp.,Citrus spp.,43,47,3,-,-,-,-,X,Flowering plants
863,tietongue or  pigeon-plum,Coccoloba diversifolia,43,47,3,-,-,-,-,X,Evergreen 
865,largeleaf geigertree,Cordia sebestena,43,47,3,-,-,-,-,X,Flowering plants
866,carrotwood,Cupaniopsis anacardioides,43,47,3,-,-,-,-,X,Evergreen
867,bluewood,Condalia hookeri,48,48,4,-,-,-,-,X,Shrub
868,blackbead ebony,Ebenopsis ebano,42,47,4,-,-,-,-,X,Evergreen
869,great leucaene,Leucaena pulverulenta,43,47,3,-,-,-,-,X,Nitrogen fixing legumes
870,Texas sophora,Sophora affinis,42,47,4,-,-,-,-,X,Deciduous
873,red stopper,Eugenia rhombea,43,47,3,-,-,-,-,X,Shrub
874,butterbough or  inkwood,Exothea paniculata,43,47,3,-,-,-,-,X,Shrub
876,Florida strangler fig,Ficus aurea,43,47,3,-,-,-,-,X,Evergreen
877,wild banyantree or  shortleaf fig,Ficus citrifolia,43,47,3,-,-,-,-,X,Evergreen
882,beeftree or  longleaf blolly,Guapira discolor,43,47,3,-,-,-,-,X,Shrub
883,manchineel,Hippomane mancinella,43,47,3,-,-,-,-,X,Shrub
884,false tamarind,Lysiloma latisiliquum,43,47,3,-,-,-,-,X,Evergreen
885,mango,Mangifera indica,43,47,3,-,-,-,-,X,Evergreen
886,Florida poisontree,Metopium toxiferum,43,47,3,-,-,-,-,X,Evergreen
887,fishpoison tree,Piscidia piscipula,43,47,3,-,-,-,-,X,Deciduous
888,octopus tree or  schefflera,Schefflera actinophylla,43,47,3,-,-,-,-,X,Evergreen
890,false mastic,Sideroxylon foetidissimum,43,47,3,-,-,-,-,X,Evergreen
891,white bully or  willow bustic,Sideroxylon salicifolium,43,47,3,-,-,-,-,X,Evergreen
895,paradisetree,Simarouba glauca,43,47,3,-,-,-,-,X,Deciduous
896,Java plum,Syzygium cumini,43,47,3,-,-,-,-,X,Evergreen
897,tamarind,Tamarindus indica,43,47,3,-,-,-,-,X,Evergreen
901,black locust,Robinia pseudoacacia,42,47,4,X,X,X,X,X,Nitrogen fixing legumes
902,New Mexico locust,Robinia neomexicana,48,48,4,-,-,-,-,X,Nitrogen fixing legumes
906,Everglades palm or  paurotis-palm,Acoelorraphe wrightii,43,47,3,-,-,-,-,X,Palm
907,Florida silver palm,Coccothrinax argentata,43,47,3,-,-,-,-,X,Palm
908,coconut palm,Cocos nucifera,43,47,3,-,-,-,-,X,Palm
909,royal palm spp.,Roystonea spp.,43,47,3,-,-,-,-,X,Palm
911,Mexican palmetto,Sabal mexicana,41,47,3,-,-,-,-,X,Palm
912,cabbage palmetto,Sabal palmetto,43,47,3,-,-,-,-,X,Palm
913,key thatch palm,Thrinax morrisii,43,47,3,-,-,-,-,X,Palm
914,Florida thatch palm,Thrinax radiata,43,47,3,-,-,-,-,X,Palm
915,other palms,Family Arecaceae not listed above,43,47,3,-,-,-,-,X,Palm
919,western soapberry,Sapindus saponaria var. drummondii,43,47,4,X,-,-,-,X,Deciduous
920,willow spp.,Salix spp.,43,47,3,X,X,X,-,X,Deciduous
921,peachleaf willow,Salix amygdaloides,43,47,3,X,X,-,-,X,Deciduous
922,black willow,Salix nigra,41,47,3,X,X,X,-,X,Deciduous
923,Bebb willow,Salix bebbiana,43,47,3,X,X,-,-,X,Deciduous
924,Bonpland willow,Salix bonplandiana,41,47,3,-,-,-,-,X,Deciduous
925,coastal plain willow,Salix caroliniana,43,47,3,X,X,-,-,X,Deciduous
926,balsam willow,Salix pyrifolia,43,47,3,X,X,X,-,-,Deciduous
927,white willow,Salix alba,41,47,3,X,X,-,-,X,Deciduous
928,Scouler's willow,Salix scouleriana,41,47,3,X,-,X,-,-,Deciduous
929,weeping willow,Salix sepulcralis,41,47,3,X,X,-,-,X,Deciduous
931,sassafras,Sassafras albidum,41,47,3,X,X,-,-,X,Deciduous
934,mountain-ash spp.,Sorbus spp.,43,47,4,X,X,-,-,X,Deciduous
935,American mountain-ash,Sorbus americana,43,47,4,X,X,-,-,X,Deciduous
936,European mountain-ash,Sorbus aucuparia,43,47,4,-,X,-,-,X,Deciduous
937,northern mountain-ash,Sorbus decora,43,47,4,X,X,-,-,-,Deciduous
940,West Indian mahogany,Swietenia mahagoni,43,47,4,-,-,-,-,X,Evergreen
950,basswood spp.,Tilia spp.,38,47,3,X,X,-,-,X,Deciduous broadleaf
951,American basswood,Tilia americana,38,47,3,X,X,-,-,X,Deciduous broadleaf
952,white basswood,Tilia americana var. heterophylla,38,47,3,X,X,-,-,X,Deciduous broadleaf
953,Carolina basswood,Tilia americana var. caroliniana,38,47,3,X,-,-,-,X,Deciduous broadleaf
970,elm spp.,Ulmus spp.,41,47,3,X,X,-,-,X,Deciduous broadleaf
971,winged elm,Ulmus alata,41,47,4,X,X,-,-,X,Deciduous broadleaf
972,American elm,Ulmus americana,41,47,3,X,X,-,X,X,Deciduous broadleaf
973,cedar elm,Ulmus crassifolia,41,47,3,X,-,-,-,X,Deciduous broadleaf
974,Siberian elm,Ulmus pumila,41,47,3,X,X,-,X,X,Deciduous broadleaf
975,slippery elm,Ulmus rubra,41,47,3,X,X,-,-,X,Deciduous broadleaf
976,September elm,Ulmus serotina,41,47,3,X,-,-,-,X,Deciduous broadleaf
977,rock elm,Ulmus thomasii,42,47,4,X,X,-,-,X,Deciduous broadleaf
981,California-laurel,Umbellularia californica,43,47,4,-,-,X,-,-,Evergreen
982,Joshua tree,Yucca brevifolia,43,47,3,-,-,X,-,-,Monocot
986,black-mangrove,Avicennia germinans,43,47,4,-,-,-,-,X,Mangrove
987,buttonwood-mangrove,Conocarpus erectus,43,47,4,-,-,-,-,X,Mangrove
988,white-mangrove,Laguncularia racemosa,43,47,4,-,-,-,-,X,Mangrove
989,American mangrove,Rhizophora mangle,43,47,4,-,-,-,-,X,Mangrove
990,desert ironwood,Olneya tesota,48,48,4,-,-,X,-,-,Evergreen
991,saltcedar,Tamarix spp.,43,47,3,X,-,X,-,-,Deciduous and evergreen trees
992,melaleuca,Melaleuca quinquenervia,41,47,3,-,-,-,-,X,Evergreen
993,chinaberry,Melia azedarach,43,47,4,X,-,-,-,X,Deciduous
994,Chinese tallowtree,Triadica sebifera,43,47,4,-,-,-,-,X,Deciduous
995,tungoil tree,Vernicia fordii,43,47,4,-,-,-,-,X,Deciduous
996,smoketree,Cotinus obovatus,43,47,4,X,-,-,-,X,Deciduous
997,Russian-olive,Elaeagnus angustifolia,43,47,3,X,X,X,-,X,Nitrogen fixing legumes
998,Unknown dead hardwood,Tree broadleaf,43,47,3,X,X,X,-,X,Broadleaf
999,Other or unknown live tree,Tree unknown,43,47,3,X,X,X,-,X,Unknown
